ext_id,price,processed_ontology,size,special_price
11931,1740,belts,,
17572,690,skirts_and_bottoms,,
16808,3290,heels,"36,37,38,39,40,41",
14222,2890,heels,41,1445
14264,2540,,L,1270
13839,2990,heels,40,1495
14639,2440,dresses,XXL,1464
12599,2200,cushions,,1100
12497,990,organisation__storage,,495
12073,1790,tableware,,895
16122,1340,drinkware,,
16123,1640,drinkware,,
11691,1790,table_linen,,1343
13925,2490,bags,,1743
15023,3290,bags,,
12666,1390,home_decor,,1112
14343,1490,accessories,,
11353,2840,bags,,1690
14078,1270,drinkware,,
12818,2490,dresses,XL,
15289,640,home_decor,,
12502,1090,house__home,,763
12310,1740,flats,39,1218
14124,1940,sandals,41,1358
11094,1890,flats,"38,39",1323
12790,1890,flats,41,1323
14464,1140,cushions,,
13325,2940,heels,41,2058
12564,1790,flats,41,1253
12515,1490,flats,41,1043
12614,1040,dining__entertaining,,
13459,2890,heels,40,2023
16108,1270,drinkware,,
12951,1590,jewelry,,795
13719,2290,dresses,XL,1603
11729,3440,skirt,S,2408
12407,2190,jewelry,,1314
14624,590,table_linen,,
12341,1690,serveware,,1268
2399,950,tops,"S,M,L,XL",808
10525,500,,,
13028,2440,new,"36,37,39,40",1708
14131,2790,wedge,41,1953
13146,2140,bags,,1712
12504,1090,organisation__storage,,545
13831,2590,home_decor,,
10633,2670,serveware,,2003
12336,890,home_decor,,801
13658,15850,home_decor,,
12340,1190,serveware,,1071
11716,2890,brogues,37,1445
13252,2890,wedge,41,1445
14685,1690,tops,S,1183
12619,2790,bags,,1953
13381,2490,nightwear,XL,
14735,1740,tops,XXL,1044
12343,1490,tops,S,
13890,2140,pants,L,1498
13506,2340,dresses,L,1170
14161,2990,dresses,XL,1794
12262,1440,tops,XS,576
13897,1890,tops,L,1323
14916,1690,tops,M,1183
13783,2140,dresses,XXL,1070
14547,2340,pants,XL,1638
14243,2440,dresses,S,1708
13138,1840,tops,XL,920
14474,2290,dresses,S,1374
13166,1890,tops,XS,945
14958,1940,dresses,XS,
16001,1490,accessories,,
13931,1790,jewelry,,895
12932,1290,tops,XL,774
16006,2390,bags,,
12162,2240,nightwear,L,
5103,1420,tops,XL,530
13608,2240,dresses,XL,1120
14616,2940,tops,XL,2058
13525,1090,cushions,,545
12239,1190,headbands,,440
13527,2740,tops,XL,1644
12396,1990,accessories,,
13640,1790,organisation__storage,,1000
14435,2240,heels,38,1568
14913,2440,bags,,1708
12849,2740,heels,"37,38",1370
12398,1690,jewelry,,845
12617,1890,bags,,1134
15288,1640,accessories,,
13471,1590,tops,XL,
14048,1940,tops,L,970
12268,1190,tops,XL,595
13665,2240,jewelry,,
13883,2140,pants,XS,1284
13638,990,bed_linen,,
13407,2590,dresses,"XL,XXL",1813
15128,2590,bags,,
15201,2530,dresses,XS,
15542,2740,brogues,"38,40",1918
12378,7390,bed_linen,,5912
14759,2840,serveware,,
13806,2630,drinkware,,1578
14080,1990,drinkware,,
14684,1470,bed_linen,,
14967,1390,accessories,,834
14360,2140,dresses,XXL,1284
11971,1040,dining__entertaining,,520
16348,1790,jewelry,,895
2658,1260,women_swimwear,M,630
16864,2290,flats,"36,37,38,39,40,41",
17367,4490,new,,
13994,2490,jewelry,,1743
12522,1740,flats,39,1218
14797,1960,,38,980
16486,2240,bags,,
13790,1490,tops,XL,745
13970,2490,,XL,1245
14606,1840,pants,S,1104
15885,3480,tops,"L,M,S,XL,XS,XXL",
11439,1950,home_decor,,
14914,490,home_decor,,
12571,2640,heels,41,1320
17271,2140,,,
14667,2240,,S,1120
15744,2140,barware,S,1070
17573,690,skirts_and_bottoms,,
14092,2790,,M,1395
14335,1990,accessories,,1393
13993,1440,jewelry,,1008
12507,2590,bed_linen,,
13601,1690,,XL,845
15090,3290,bags,,2303
17363,1190,table_linen,,
13413,2490,tops,,1245
13666,3290,dresses,,1645
10534,3990,bags,,
11431,7000,jewelry,,
12711,1340,tops,,670
11436,6500,jewelry,,
10973,2940,brogues,,
14771,2390,serveware,,
11432,6500,jewelry,,
13153,2210,serveware,,1105
13332,2940,heels,37,
11692,890,table_linen,,310
12071,1290,tableware,,960
12335,2490,serveware,,1245
12495,640,organisation__storage,,320
2888,3260,lighting,,2100
12150,1790,nightwear,XL,1253
12498,1390,organisation__storage,,695
13342,990,organisation__storage,,
11999,1490,drinkware,,
12958,1240,jewelry,,620
13664,1840,jewelry,,1288
12665,3490,bags,,1745
12481,790,scarves,,
12960,1840,jewelry,,920
13285,790,scarves,,
4229,2010,cushions,,
9101,3680,home_decor,,1840
9801,1570,candles,,940
12107,1790,new,39,1253
12368,2940,brogues,37,1470
11525,1790,flats,40,1253
7231,2420,heels,40,1694
12592,1940,heels,37,1358
12979,1840,flats,"36,37,38,39,40",
12797,1890,flats,41,1323
10225,2340,table_linen,,
9674,940,candles,,470
12255,1290,headbands,,
13521,1290,table_linen,,
16107,1270,drinkware,,
13573,1640,dresses,"M,L",1148
14421,2240,dresses,S,1568
14306,2440,dresses,XL,1708
14338,1590,accessories,,1113
9679,2390,home_decor,,1195
14079,1490,barware,,
11493,1490,skirt,"S,L",745
14590,1840,tops,XS,1104
12392,1290,jewelry,,774
9593,2290,organisation__storage,,1145
14182,1640,dresses,XXL,1148
16087,790,new,,
11696,890,table_linen,,668
14465,890,cushions,,
14085,16580,lighting,,
15287,1295,accessories,,
15284,1295,accessories,,
15285,3990,accessories,,
12770,1530,bed_linen,,
12737,3240,bags,,
13523,1240,cushions,,620
13085,1790,flats,36,895
13092,1790,flats,36,895
13641,2490,vases_and_accessories,,
13926,2290,bags,,1603
10228,2210,table_linen,,
14915,2240,bags,,1568
12736,2240,bags,,
11511,2440,heels,36,1708
14229,2900,heels,38,1740
8231,2210,women_swimwear,"S,M",1326
13651,12680,home_decor,,
13654,10570,home_decor,,
13656,21130,home_decor,,
13657,15850,home_decor,,
11747,6960,lighting,,
12748,1840,heels,40,
12762,2440,brogues,38,1220
13999,1840,flats,41,1288
13358,1840,flats,"37,38,39",1288
14357,3990,bed_linen,,
13996,1440,jewelry,,720
14565,2390,dresses,S,1434
12065,1640,tops,S,656
13271,1590,tops,XL,795
14923,1690,tops,L,1183
13226,1740,skirt,S,696
14020,1840,tops,XXL,920
12739,2140,new,S,
13513,1990,tops,XL,995
14775,1590,tops,M,1113
11943,1440,new,S,
13220,1890,tops,XL,1323
13245,2140,flats,40,1498
13726,2690,dresses,M,
12156,1790,nightwear,XL,1253
12726,1390,candles,,
11895,2290,skirt,XS,
14096,1890,sandals,38,945
13984,2290,dresses,"L,XL",1145
14605,2240,bags,,1568
14613,2340,bags,,1404
12783,1690,flats,39,1183
13445,2740,heels,41,1644
13014,1840,flats,36,1104
12777,1640,tops,XL,
13132,2840,pants,XS,1136
14324,1640,tops,S,1148
15995,1390,accessories,,
11709,2890,brogues,37,1445
13485,2390,pants,XL,1195
14721,2290,dresses,XS,
4293,1990,pants,S,990
14604,2290,bags,,
4312,1580,shorts,XL,530
15024,3290,bags,,2632
14826,2330,brogues,38,1631
13977,1590,tops,M,
13466,2340,bags,,1404
13860,1490,tops,XXL,
13991,2240,jewelry,,1120
14299,2290,tops,XXL,
12600,2200,cushions,,1100
16245,2440,dresses,S,
12907,1190,table_linen,,
16071,1630,accessories,,
12016,1340,drinkware,,
12501,990,kitchen,,
9209,950,barware,,540
10211,1990,cushions,,1090
12906,1190,table_linen,,
12003,2790,serveware,,
12503,1090,organisation__storage,,545
10903,690,serveware,,345
16119,1640,drinkware,,
12000,940,tableware,,
15652,1490,tops,"L,M,S,XL,XS,XXL",
15224,640,home_decor,,
9126,2940,women_swimwear,XS,1470
12232,590,belts,,
15084,2490,,XS,1992
8515,2630,women_swimwear,XS,1315
14414,1740,flats,39,1218
12228,3590,organisation__storage,,1795
14090,2240,tops,M,
13768,790,scarves,,
16117,1830,drinkware,,
11648,790,scarves,,
13292,1890,nightwear,XL,1323
